Región del Libertador Gral. Bernardo O’Higgins;Marchihue;Colbún S.A.;El Encanto, Parque Fotovoltaico, Almacenamiento y Transporte de Energía;Solar Fotovoltaica;500;249.7;-34.431601;-71.643269
Región Metropolitana de Santiago;Isla de Maipo;Guallatiri SpA;Parque Fotovoltaico Liebre del Verano;Solar Fotovoltaica;10.2;10.8;-33.73171106;-70.9023328
Región de La Araucanía;Los Sauces;MVC SOLAR 50 SpA;Parque Fotovoltaico El Sauce;Solar Fotovoltaica;11;11.22;-37.990886;-72.873666
Región de Valparaíso;Nogales;NAVIO SOLAR SPA;PARQUE FOTOVOLTAICO EL NAVIO;Solar Fotovoltaica;11.1;9.27;-32.652391;-71.187815
Región del Biobío;Santa Juana-Los Angeles-Mulchén;Inversiones San Carlos SpA;Central Hidroeléctrica San Carlos;Hidráulica;420;154.4;-37.615505;-72.266621
Región Metropolitana de Santiago;Curacaví;SOLAR TI VEINTIDOS SPA;Parque Fotovoltaico Chicha Solar;Solar Fotovoltaica;12;11.42;-33.424714;-71.050817
Región de La Araucanía;Pucón;Inversiones Huife Ltda.;Pequeña Central Hidroeléctrica Llancalil;Hidráulica;23;6.9;-39.219846;-71.623734
Región de La Araucanía;Villarrica;ENERGIA RENOVABLE AMBAR SPA;Parque Fotovoltaico El Rincon;Solar Fotovoltaica;11;11.04;-39.299784;-72.252042
Región de Coquimbo;Illapel;Diego de Almagro Solar 2 S.A.;Parque Solar Fotovoltaico Auco;Solar Fotovoltaica;12;9.0;-31.560917;-71.102979
Región Metropolitana de Santiago;Talagante;MACAO SOLAR SpA;Nueva Central Solar Fotovoltaica MACAO;Solar Fotovoltaica;9.6;9.61;-33.70055;-70.886658
Región de Antofagasta;Taltal;Colbún S.A.;Central de Bombeo Paposo para almacenamiento, generación y transporte de energía;Hidráulica;1400;800.0;-24.954746;-70.478071
Región de Tarapacá;Huara;GRENERGY RENOVABLES PACIFIC LIMITADA;Planta Fotovoltaica Saya;Solar Fotovoltaica;13.5;10.79;-20.0;-70.0
Región de Tarapacá;Pozo Almonte;Amunche Solar SpA;Parque Solar Fotovoltaico Arrebol;Solar Fotovoltaica;18;12.08;-20819094.0;-69701958.0
Región de Tarapacá;Pozo Almonte;Pesquero Solar SpA;Proyecto Fotovoltaico Solferino;Solar Fotovoltaica;12;13.5;-20.0;-70.0
Región de Ñuble;Yungay;Empresa Eléctrica Guindo Santo SpA;Parque Solar Guindo Santo;Solar Fotovoltaica;7.4;11.17;-37.135805;-71.920201
Región Metropolitana de Santiago;San Bernardo;MAKOHE SPA;Parque Solar Makohe;Solar Fotovoltaica;12;15.22;-33.555452;-70.74826
Región de Coquimbo;Ovalle;QUEBRADA SECA SPA;Parque Eólico Quebrada Seca;Eólica;400;266.0;-30280990.0;-71647957.0
Región de La Araucanía;Collipulli-Angol;Empresa Eléctrica Alpes SpA;Parque Eólico Los Alpes;Eólica;130;105.6;-37.8465409101;-72.5973787553
Región de Atacama;Vallenar;ORION POWER S.A.;Parque Solar Fotovoltaico Marañón;Solar Fotovoltaica;12;11.84;-28.582965;-70.714053
Región Metropolitana de Santiago;Til-Til;BLUE SOLAR DIECISIETE SPA;Parque Solar Polpaico;Solar Fotovoltaica;7.2;7.204;-33.147427;-70.895943
Región de Valparaíso;La Ligua-Papudo;LUZ DE SOL 5 SPA;Casas Viejas Solar;Solar Fotovoltaica;116;161.1;-32.346763;-71.305421
Región Metropolitana de Santiago;Paine;CVE Proyecto Once SpA.;Aquiluz Solar;Solar Fotovoltaica;12.2;12.16;-33.793395;-70.692082
Región de Atacama;Diego de Almagro;Colbún S.A.;Proyecto Diego de Almagro Sur 1;Solar Fotovoltaica;83.2;129.0;-26.589919;-69.958962
Región de Valparaíso;Putaendo;SLK CB NUEVE SpA;Ampliación Parque Solar Rinconada Sur;Solar Fotovoltaica;0.4;0.5;-32.661168;-70.68832
Región de Los Ríos;La Unión-Paillaco;Parque Eólico Ovejera Sur SpA;PARQUE EÓLICO OVEJERA SUR;Eólica;280;216.0;-40.0;-73.0
Región de Antofagasta;Antofagasta;Chungungo Solar SpA;Parque Solar Fotovoltaico Chungungo Solar;Solar Fotovoltaica;9.5;12.5;-23.852519;-70.306575
Región de Coquimbo;Los Vilos;Parsosy Ra SpA;Proyecto Solar Los Vilos PMG;Solar Fotovoltaica;9;11.25;-31.889204;-71.461555
Región de Coquimbo;Andacollo;Solarig Development Chile SpA;Central Fotovoltaica Sol de La Virgen;Solar Fotovoltaica;26.7;6.2;-30.269407;-71.078049
Región de Tarapacá;Pozo Almonte;ANDES GREEN ENERGY S.A.;GHUNGNAM KCS;Solar Fotovoltaica;2789.1;1009.28;-20.47176;-69.516602
Región de Coquimbo;Ovalle;Bronte SpA;Parque Fotovoltaico Bronte;Solar Fotovoltaica;12;9.0;-30.53355;-71.22933
Región del Libertador Gral. Bernardo O’Higgins;Rengo;CVE PROYECTO TREINTA Y SIETE SPA;Diana Solar;Solar Fotovoltaica;7.6;7.89;-34.363062;-70.834223
Región Metropolitana de Santiago;Til-Til;RUCASOL SPA;Parque Fotovoltaico Rucasol;Solar Fotovoltaica;11;10.13;-32.960645;-70.807293
Región del Biobío;Los Angeles;LUZ DE SOL 1 SPA;Parque Fotovoltaico Maquehue;Solar Fotovoltaica;10;11.016;-37.237057;-72.326492
Región del Libertador Gral. Bernardo O’Higgins;Chimbarongo;Chimbarongo Solar SpA;Parque Fotovoltaico Chimbarongo 3;Solar Fotovoltaica;10;12.0;-34.74734;-71.03233
Región de Arica y Parinacota;Camarones;Alwa II SpA;Proyecto Parque Fotovoltaico Alwa II;Solar Fotovoltaica;343;198.04;-18.92444;-70.149788
Región del Biobío;Los Angeles;ENERGY HEAD CONSULTING SpA;San Eugenio Solar;Solar Fotovoltaica;12;12.0;-38.0;-72.0
Región de Ñuble;Ninhue;Solek Chile Services SpA;Parque Fotovoltaico Santa Bárbara;Solar Fotovoltaica;10;10.66;-36.425405;-72.377998
Región de Valparaíso;San Esteban;Solek Chile Services SpA;Parque Fotovoltaico Andrómeda 2;Solar Fotovoltaica;5;3.23;-32.793624;-70.557663
Región de Antofagasta;Antofagasta;Astro Solar Spa.;Parque Fotovoltaico Antilco;Solar Fotovoltaica;10;15.0;-24.0;-70.0
Región del Libertador Gral. Bernardo O’Higgins;San Fernando;Hidroeléctrica La Confluencia S.A.;Nuevo Parque Solar Fotovoltaico La Correana;Solar Fotovoltaica;9.2;10.3;-34.899571;-70.524252
Región del Libertador Gral. Bernardo O’Higgins;Requinoa;SOLAR TI CINCUENTA Y TRES SPA;PFV Juan Gonzalo Solar;Solar Fotovoltaica;11;15.4;-34.25988;-70.850308
Región del Biobío;Los Angeles;Solek Chile Services SpA;Parque Fotovoltaico Miño;Solar Fotovoltaica;10;10.61;-37.418491;-72.352003
Región de La Araucanía;Gorbea;ENERGIA RENOVABLE AZABACHE SPA;Parque Fotovoltaico Donguil Solar;Solar Fotovoltaica;11;11.0;-39.136051;-72.675741
Región de Valparaíso;Nogales;La Pena Solar SpA;Parque Fotovoltaico La Pena;Solar Fotovoltaica;10.6;10.66;-23.0;-69.0
Región de Atacama;Copiapó;TOLEDO SOLAR SPA;Parque Fotovoltaico Toledo;Solar Fotovoltaica;12;12.5;-27.284936;-70.406976
Región de Valparaíso;San Felipe;PMGD Mauco SpA;Ampliación Parque Fotovoltaico Mauco;Solar Fotovoltaica;2.4;3.02;-33.0;-71.0
Región de Antofagasta;María Elena;TS3;Parque Fotovoltaico Santa Isabel II;Solar Fotovoltaica;200;155.0;-22.953586;-69.367754
Región de Antofagasta;María Elena;Enel Green Power Chile Limitada;Modificación Proyecto Fotovoltaico Valle del Sol;Solar Fotovoltaica;170;188.0;-33.0;-71.0
Región de Valparaíso;Panquehue;CVE Proyecto Treinta y Siete SpA;Ana Solar;Solar Fotovoltaica;8.7;8.02;-32.810066;-70.932562
